,Best_Params,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC_AUC
LogisticRegression,"{'classifier__C': 0.1, 'classifier__solver': 'lbfgs'}",0.7409510290986515,0.5077720207253886,0.786096256684492,0.6169989506820567,0.845537213567904
RandomForest,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.7743080198722498,0.5571428571428572,0.7299465240641712,0.6319444444444444,0.8422511560618977
GradientBoosting,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}",0.7828246983676366,0.5779816513761468,0.6737967914438503,0.6222222222222222,0.8406120023767083
XGBoost,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'classifier__subsample': 0.8}",0.7828246983676366,0.5790697674418605,0.6657754010695187,0.6194029850746269,0.8451199979332973
MLPClassifier,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (100,)}",0.7402413058907026,0.5099502487562189,0.5481283422459893,0.5283505154639175,0.7721279289054224
Voting_Soft,,0.7735982966643009,0.565947242206235,0.6310160427807486,0.5967130214917825,0.8323387325944871
Stacking,,0.7622427253371186,0.5528455284552846,0.5454545454545454,0.5491251682368775,0.8131416466454829
